stdPYR
[0.00032615 0.00038471 0.00012021]
stdR
[[0.00060931 0.00048844 0.00018548]]
stdP
[[1.71951398e-04 6.25611827e-05 7.97441992e-05]]
meanPYR
[-0.60907313 -0.05860578 -3.13679976]
numb. data points
204
Position
 [-0.60898467 -0.05842211 -3.13676858]
 [-0.60920642 -0.05842035 -3.13668045]
 [-0.60868652 -0.05861262 -3.13681264]
 [-0.60917463 -0.05834741 -3.13674211]
 [-0.60866088 -0.05813492 -3.13690798]
 [-0.60905543 -0.05826882 -3.13686247]
 [-0.60858194 -0.05853164 -3.13668871]
 [-0.60867625 -0.0582493  -3.13681862]
 [-0.60879939 -0.05789702 -3.13692448]
 [-0.60923814 -0.05807609 -3.13692252]
 [-0.608874   -0.05827053 -3.13682604]
 [-0.60916723 -0.05826965 -3.13668014]
 [-0.60933443 -0.05849442 -3.13673857]
 [-0.60880152 -0.05797185 -3.13699985]
 [-0.60913436 -0.05818977 -3.13690902]
 [-0.60890797 -0.05825037 -3.13680092]
 [-0.60900649 -0.05824484 -3.13695268]
 [-0.60896279 -0.05897162 -3.13654344]
 [-0.60926281 -0.05818832 -3.13672621]
 [-0.60859319 -0.05796824 -3.13681171]
 [-0.60915663 -0.05775665 -3.13695277]
 [-0.6083984  -0.05837251 -3.13670241]
 [-0.60963664 -0.05810168 -3.13678632]
 [-0.60882647 -0.05778443 -3.13687099]
 [-0.60908297 -0.05804909 -3.13695564]
 [-0.60901207 -0.05799192 -3.13680376]
 [-0.60878208 -0.05815129 -3.13689942]
 [-0.60871695 -0.05843943 -3.13675898]
 [-0.60915405 -0.05796467 -3.13697668]
 [-0.60918498 -0.05795949 -3.13701363]]
